Number of Clusters,SSE
1,4291056.000000074
2,2840143.7264233436
3,2055001.0978831411
4,1648658.3674080037
5,1422163.5789432765
6,1271516.9745012214
7,1156305.0539454026
8,1035913.5603668792
9,934520.9881633937
10,888316.5427121207
