Number of Clusters,WCSS
1,1838936.9999993965
2,1134179.3692347861
3,709370.8733308273
4,544047.6641911325
5,457514.5964524509
6,387972.54928988416
7,341716.69870931574
8,298681.71580437676
9,272852.09867135884
10,251542.86613580538
